1;2802.00;9.60;1550.00;big
1;2752.00;9.60;1533.00;big
2;2780.00;9.70;1597.00;big
2;2773.00;10.40;1618.00;big
3;2735.00;9.88;1677.00;big
3;2744.00;9.65;1644.00;big
4;2698.00;9.70;1613.00;big
4;2671.00;9.60;1573.00;big
5;2886.00;9.60;1555.00;big
5;2899.00;9.60;1578.00;big
6;2943.00;9.60;1573.00;big
6;2955.00;9.60;1598.00;big
7;2924.00;10.05;1545.00;big
7;2932.00;10.48;1519.00;big
8;2998.00;9.80;1544.00;big
8;3007.00;9.60;1578.00;big
9;3170.00;9.50;1860.00;big
9;3124.00;9.50;1769.00;big
10;3062.00;9.85;1728.00;big
10;3027.00;10.55;1759.00;big
11;2960.00;10.48;1731.00;big
11;2975.00;11.55;1764.00;big
12;3229.00;10.10;1862.00;big
12;3223.00;10.40;1951.00;big
13;3183.00;9.85;1758.00;big
13;3173.00;9.75;1798.00;big
14;3820.00;9.60;1850.00;big
14;3905.00;9.68;1773.00;big
15;4554.00;12.38;1258.00;big
15;4567.00;12.70;1304.00;big
16;2824.00;9.50;1597.00;big
16;2809.00;9.50;1684.00;big
17;3402.00;13.38;836.00;big
17;3437.00;14.95;764.00;big
18;2744.00;9.50;1499.00;big
18;2815.00;9.50;1530.00;big
19;2849.00;9.70;1516.00;big
19;2903.00;10.43;1480.00;big
20;2860.00;11.00;1399.00;big
20;2894.00;11.98;1415.00;big
21;3013.00;13.60;1461.00;big
21;3056.00;11.03;1475.00;big
22;3065.00;10.60;1507.00;big
22;3027.00;10.35;1516.00;big
23;2981.00;9.95;1384.00;big
23;3007.00;10.18;1368.00;big
24;3114.00;9.68;1417.00;big
24;3139.00;10.00;1391.00;big
25;3163.00;9.50;1335.00;big
25;3152.00;10.38;1296.00;big
26;3182.00;10.20;1412.00;big
26;3227.00;9.60;1412.00;big
27;3126.00;9.70;1470.00;big
27;3084.00;9.70;1450.00;big
28;3379.00;10.65;1224.00;big
28;3428.00;10.28;1246.00;big
29;3029.00;9.50;1247.00;big
29;3130.00;9.50;1203.00;big
30;3318.00;9.50;1397.00;big
30;3404.00;9.50;1389.00;big
31;4023.00;11.43;872.00;big
31;4023.00;9.73;805.00;big
32;1168.00;9.50;453.00;big
32;1196.00;9.50;146.00;big
33;470.00;9.60;1991.00;big
33;5512.00;9.60;1674.00;big
34;1433.00;11.32;1100.00;big
34;1507.00;9.60;1021.00;big
35;1807.00;9.98;244.00;big
35;1878.00;9.60;267.00;big
36;2039.00;12.30;2012.00;big
36;2327.00;13.75;2116.00;big
37;3214.00;9.60;1685.00;big
37;3166.00;9.80;1643.00;big
38;3132.00;10.00;1518.00;big
38;3143.00;9.80;1554.00;big
39;3208.00;10.00;1537.00;big
39;3195.00;10.38;1504.00;big
40;3654.00;10.10;1579.00;big
40;3726.00;11.38;1608.00;big
41;2710.00;10.88;1290.00;big
41;2746.00;11.03;1276.00;big
42;2703.00;9.50;1410.00;big
42;2769.00;9.50;1436.00;big
43;2585.00;9.50;1562.00;big
43;2529.00;9.50;1648.00;big
44;2242.00;9.50;1900.00;big
44;2425.00;9.50;1939.00;big
45;2787.00;9.50;1851.00;big
45;2630.00;9.50;1997.00;big
46;3090.00;9.50;2080.00;big
46;3307.00;9.50;2075.00;big
47;2517.00;9.50;1307.00;big
47;2638.00;9.50;1321.00;big
48;2667.00;9.50;1247.00;big
48;2627.00;9.50;1171.00;big
49;2372.00;9.50;1663.00;big
49;2311.00;9.50;1762.00;big
50;1863.00;9.50;1975.00;big
50;1968.00;9.50;1878.00;big
51;2340.00;9.50;1525.00;big
51;2448.00;9.50;1437.00;big
52;1463.00;9.50;1297.00;big
52;1351.00;9.50;1255.00;big
53;1589.00;9.50;1163.00;big
53;1530.00;9.50;1075.00;big
54;1750.00;9.50;1506.00;big
54;1654.00;9.50;1514.00;big
55;1844.00;9.50;1688.00;big
55;1785.00;9.50;1732.00;big
56;2223.00;9.50;1409.00;big
56;2156.00;9.50;1522.00;big
57;1954.00;9.50;1246.00;big
57;2088.00;9.50;1304.00;big
58;2199.00;9.50;1120.00;big
58;2217.00;9.50;1263.00;big
59;1950.00;9.50;1000.00;big
59;2025.00;9.50;923.00;big
60;3959.00;9.50;766.00;big
60;3964.00;9.50;633.00;big
61;2301.00;9.50;922.00;big
61;2311.00;9.50;1047.00;big
62;2906.00;9.50;682.00;big
62;2755.00;9.50;660.00;big
63;1735.00;9.50;16.00;big
63;1880.00;9.50;20.00;big
64;2338.00;9.50;117.00;big
64;2504.00;9.50;104.00;big
65;3089.00;9.50;67.00;big
65;3008.00;9.50;67.00;big
66;2533.00;9.50;349.00;big
66;2578.00;9.50;461.00;big
67;2853.00;9.50;100.00;big
67;2657.00;9.50;107.00;big
68;2954.00;9.50;1288.00;big
68;2854.00;9.50;1284.00;big
69;3263.00;9.50;1208.00;big
69;3327.00;10.03;1229.00;big
70;3583.00;9.50;1434.00;big
70;3618.00;9.50;1337.00;big
71;4204.00;9.50;696.00;big
71;4319.00;9.50;569.00;big
72;4425.00;9.50;655.00;big
72;4355.00;9.50;725.00;big
73;4396.00;9.50;770.00;big
73;4372.00;9.50;808.00;big
74;4004.00;9.50;163.00;big
74;4082.00;9.50;305.00;big
75;4565.00;9.50;925.00;big
75;4587.00;9.50;797.00;big
76;4780.00;9.60;1200.00;big
76;4723.00;9.50;1140.00;big
77;4700.00;9.50;1232.00;big
77;4730.00;9.50;1291.00;big
78;4937.00;9.50;931.00;big
78;4787.00;9.50;884.00;big
79;4862.00;9.50;1298.00;big
79;4971.00;9.50;1441.00;big
80;4690.00;9.50;682.00;big
80;4746.00;9.50;719.00;big
81;5096.00;9.50;419.00;big
81;5236.00;9.50;355.00;big
82;4887.00;9.50;518.00;big
82;4985.00;9.50;450.00;big
83;5313.00;9.60;495.00;big
83;5221.00;9.60;554.00;big
84;5065.00;9.50;775.00;big
84;5235.00;9.50;719.00;big
85;3858.00;9.50;298.00;big
85;3932.00;9.50;413.00;big
86;5251.00;9.50;123.00;big
86;5485.00;9.50;193.00;big
87;5202.00;9.50;1681.00;big
87;5094.00;9.50;1521.00;big
88;5537.00;9.50;1789.00;big
88;116.00;9.50;1877.00;big
89;901.00;9.50;1366.00;big
89;829.00;9.50;1528.00;big
90;4979.00;9.50;1209.00;big
90;5066.00;9.50;1344.00;big
